year,name,total_units,units_1,units_2,units_3_4,units_5_more,structures_units_5_more,note
2006,"Greensboro-High Point, NC",6417,4660,28,89,1640,101,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Greenville, NC",2320,1577,200,3,540,47,NA
2006,"Greenville, SC",5526,4980,14,0,532,30,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Gulfport-Biloxi, MS",3985,3417,128,78,362,16,NA
2006,"Hagerstown-Martinsburg, MD-WV",2787,2427,62,10,288,34,NA
2006,"Hanford-Corcoran, CA",849,755,12,43,39,4,NA
2006,"Harrisburg-Carlisle, PA",2030,1886,6,18,120,12,NA
2006,"Harrisonburg, VA",908,886,22,0,0,0,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Hartford-West Hartford-East Hartford, CT",3638,2697,114,33,794,46,NA
2006,"Hattiesburg, MS",457,231,6,0,220,18,NA
2006,"Hickory-Lenoir-Morganton, NC",1553,1489,36,0,28,4,NA
2006,"Hinesville-Fort Stewart, GA",271,259,0,12,0,0,NA
2006,"Holland-Grand Haven, MI",1365,1204,16,15,130,7,NA
2006,"Honolulu, HI",2606,1727,0,0,879,6,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Hot Springs, AR",135,135,0,0,0,0,NA
2006,"Houma-Bayou Cane-Thibodaux, LA",1153,1093,32,4,24,4,NA
2006,"Houston-Sugar Land-Baytown, TX",71719,55162,332,492,15733,697,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Huntington-Ashland, WV-KY-OH",633,336,32,0,265,11,NA
2006,"Huntsville, AL",4470,4154,0,0,316,30,NA
2006,"Idaho Falls, ID",1524,1363,10,71,80,10,NA
